,idx,smiles,largest_ring,num_rings,qed,no_unwanted_frags,mol_wt,num_HBA,num_HBD,logP,num_rotatable_bonds,tpsa,bridgehead_atoms,spiro_atoms,mol,score
0,7635,COC1=NOCC=C1C(O)C2=CC=NC=C2N3CC=CC=C3OCC=C,6,3,0.7901707541600481,True,355.153206152,7,1,2.4517000000000007,6,76.41,0,0,<rdkit.Chem.rdchem.Mol object at 0x14e69ece4460>,-6.89006
1,6484,CCNS(=O)(=O)CCC1=CC=CC=C1CC,6,1,0.8241770759719849,True,241.113649848,2,1,1.7307999999999997,6,46.17,0,0,<rdkit.Chem.rdchem.Mol object at 0x14e69ece4520>,-7.17283
2,240,OC(C)C=NC=C(N1C=NC(C2=CC=CC=N2)=N1)C(CF)F,6,2,0.8269790583048005,True,307.12446654,6,1,1.8977,6,76.19,0,0,<rdkit.Chem.rdchem.Mol object at 0x14e69ece45e0>,-7.68856
3,3427,C=1NCCCC=1S(=O)(C)CCC(CF)F,6,1,0.7128713133842337,True,239.115541668,2,2,1.5554,5,29.1,0,0,<rdkit.Chem.rdchem.Mol object at 0x14e69ece4640>,-6.94619
4,91,CCCS(=O)(=O)C1=CC=CC=C1N2C=NCC2S,6,2,0.8601186919384228,True,284.065319752,5,1,1.9745000000000004,4,49.74,0,0,<rdkit.Chem.rdchem.Mol object at 0x14e69ece4580>,-5.92116
5,215,O=C(O)C1=CC=CC=C1C2=CC=CC#C2,6,2,0.8012192155971888,True,196.052429496,1,1,2.6521800000000013,2,37.3,0,0,<rdkit.Chem.rdchem.Mol object at 0x14e69ece4700>,-8.9605
6,871,C=C1C=CC(Br)=C1NS(=O)(=O)C2=CC=CC=C2F,6,2,0.9263437031600896,True,328.952139848,2,1,2.836500000000001,3,46.17,0,0,<rdkit.Chem.rdchem.Mol object at 0x14e69ece47c0>,-7.98055
7,2831,O=CCC(C1=CC=CC=C1OC=O)C,6,1,0.6691568856183142,True,192.078644244,3,0,1.9143,5,43.370000000000005,0,0,<rdkit.Chem.rdchem.Mol object at 0x14e69ece4820>,-6.68876
8,4480,CCCC1=CC=CC=C1NC(=O)CC=NC(CF)(F)F,6,1,0.6036175484210394,True,286.129297824,2,1,3.600800000000002,7,41.46,0,0,<rdkit.Chem.rdchem.Mol object at 0x14e69ece4880>,-7.50495
9,751,COC1CCCCC1CNC(=O)C2=CC=C3C#CC=CC3=C2OCO,6,3,0.792952127537278,True,341.162708216,4,2,2.7037800000000005,6,67.79,0,0,<rdkit.Chem.rdchem.Mol object at 0x14e69ece48e0>,-8.89332
10,6763,C=CCCC(CC(=O)NC1=CC=CC=C1)F,6,1,0.7334148160060041,True,221.121592352,1,1,3.319500000000001,6,29.1,0,0,<rdkit.Chem.rdchem.Mol object at 0x14e69ece4940>,-7.34039
11,7450,ON1CCCC1NC=CC=CCC=CC=C(CF)CF,5,1,0.6715146249186985,True,284.170019764,3,2,3.2687000000000026,8,35.5,0,0,<rdkit.Chem.rdchem.Mol object at 0x14e69ece49a0>,-7.65345
12,6278,CC1=CC=CC(C)=C1C(O)S(=O)(=O)C2=CC=CC=C2C=C(F)F,6,2,0.916427561336529,True,338.078821812,3,1,4.005640000000003,4,54.37,0,0,<rdkit.Chem.rdchem.Mol object at 0x14e69ece4a00>,-8.19883
